date,total,cumsum
06/03/2020,1,1
09/03/2020,2,3
11/03/2020,6,9
12/03/2020,4,13
13/03/2020,3,16
14/03/2020,8,24
15/03/2020,21,45
16/03/2020,12,57
17/03/2020,18,75
18/03/2020,27,102
19/03/2020,26,128
20/03/2020,47,175
21/03/2020,35,210
22/03/2020,30,240
23/03/2020,66,306
24/03/2020,113,419
25/03/2020,62,481
26/03/2020,10,491
27/03/2020,48,539
28/03/2020,69,608
29/03/2020,94,702
30/03/2020,96,798
31/03/2020,108,906
01/04/2020,159,1065
02/04/2020,96,1161
03/04/2020,106,1267
04/04/2020,139,1406
05/04/2020,79,1485
06/04/2020,94,1579
07/04/2020,201,1780
08/04/2020,274,2054
09/04/2020,169,2223
10/04/2020,250,2473
11/04/2020,236,2709
12/04/2020,67,2776
13/04/2020,76,2852
14/04/2020,127,2979
15/04/2020,126,3105
